common_name,scientific_name,genus,species,family,stop1,stop2,stop3,stop4,stop5,stop6,stop7,stop8,stop9,stop10,stop11,stop12,stop13,stop14,stop15,stop16,stop17,total_count,observation_year
Alder Flycatcher,Empidonax alnorum,Empidonax,alnorum,Tyrannidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
American Crow,Corvus brachyrhynchos,Corvus,brachyrhynchos,Corvidae,1,1,1,3,0,0,2,1,1,1,3,0,0,0,2,0,2,18,2018
American Goldfinch,Carduelis tristis,Carduelis,tristis,Fringillidae,1,0,2,0,3,0,0,0,0,1,0,1,0,0,2,1,0,11,2018
American Kestrel,Falco sparverius,Falco,sparverius,Falconidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
American Redstart,Setophaga ruticilla,Setophaga,ruticilla,Parulidae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2018
American Robin,Turdus migratorius,Turdus,migratorius,Turdidae,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,2018
American White Pelican,Pelecanus erythrorhynchos,Pelecanus,erythrorhynchos,Pelecanidae,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,17,2018
Bald Eagle,Haliaeetus leucocephalus,Haliaeetus,leucocephalus,Accipitridae,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2018
Baltimore oriole,Icterus galbula,Icterus,galbula,Icteridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Barn Swallow,Hirundo rustica,Hirundo,rustica,Hirundinidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Bay-breasted Warbler,Dendroica castanea,Dendroica,castanea,Parulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Belted Kingfisher,Ceryle alcyon,Ceryle,alcyon,Alcedinidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Black Tern,Chlidonias niger,Chlidonias,niger,Laridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
Black-and-white Warbler,Mniotilta varia,Mniotilta,varia,Parulidae,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2018
